celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0795_m08295,1.02,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0805_m08295,17.572,3,0,NA,NA,NA,3,NA,3,3,0.15,0.0085,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0815_m08295,24.687,11,0,NA,NA,NA,10,NA,10,5,0.25,0.0203,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0815_m08305,8.411,2,0,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0825_m08295,2.692,2,0,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0825_m08305,34.742,6,0,NA,NA,NA,6,NA,5,4,0.2,0.0072,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0825_m08315,28.184,6,0,NA,NA,NA,6,NA,6,4,0.2,0.0106,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0835_m08295,19.461,4,0,NA,NA,NA,3,NA,4,2,0.1,0.0103,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0835_m08305,98.126,31,0,174,211,38,26,NA,30,12,0.6,0.0153,13.6,0.867,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0835_m08315,91.09,34,0,177,211,35,30,NA,33,15,0.75,0.0181,15.1,1,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0835_m08335,55.868,8,0,NA,NA,NA,6,NA,8,3,0.15,0.0072,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0835_m08345,37.569,12,0,NA,NA,NA,11,NA,12,8,0.4,0.016,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0835_m08355,6.4,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0835_m08365,1.93,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08285,12.797,3,33.3,NA,NA,NA,3,NA,1,1,0.05,0.0039,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08295,120.763,19,10.5,NA,NA,NA,15,NA,16,10,0.5,0.0066,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08305,121.786,83,0,161,223,63,59,NA,78,18,0.9,0.032,23.2,0.628,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0845_m08315,88.33,70,0,166,235,70,60,NA,67,19,0.95,0.0379,22.5,0.478,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0845_m08325,0.097,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08335,77.379,15,0,NA,NA,NA,15,NA,15,8,0.4,0.0097,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08345,121.763,12,0,NA,NA,NA,7,NA,12,7,0.35,0.0049,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08355,121.759,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08365,85.41,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0845_m08375,4.113,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08285,24.082,4,0,NA,NA,NA,3,NA,4,3,0.15,0.0083,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08295,121.763,30,0,161,209,49,27,NA,30,12,0.6,0.0123,9.9,0.767,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0855_m08305,121.755,48,0,177,219,43,38,NA,47,14,0.7,0.0193,16.7,0.723,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0855_m08315,114.067,16,0,NA,NA,NA,15,NA,16,8,0.4,0.007,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08325,28.965,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08335,7.337,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08345,63.629,9,0,NA,NA,NA,7,NA,8,5,0.25,0.0063,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08355,121.728,5,0,NA,NA,NA,5,NA,5,4,0.2,0.0021,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08365,121.725,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0855_m08375,83.313,1,0,NA,NA,NA,1,NA,1,1,0.05,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08285,0.702,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08295,84.645,4,0,NA,NA,NA,4,NA,3,3,0.15,0.0018,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08305,121.724,7,0,NA,NA,NA,7,NA,7,5,0.25,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08315,121.717,5,20,NA,NA,NA,5,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08325,121.711,3,0,NA,NA,NA,3,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08335,88.619,1,0,NA,NA,NA,1,NA,1,1,0.05,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08345,27.697,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08355,108.25,9,0,NA,NA,NA,7,NA,9,6,0.3,0.0042,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08365,119.658,7,0,NA,NA,NA,7,NA,7,6,0.3,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0865_m08375,33.625,5,0,NA,NA,NA,4,NA,5,2,0.1,0.0074,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08295,76.804,8,0,NA,NA,NA,6,NA,7,4,0.2,0.0046,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08305,121.692,2,0,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08315,121.685,15,0,NA,NA,NA,11,NA,14,7,0.35,0.0058,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08325,121.679,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08335,121.673,30,0,155,209,55,23,NA,30,10,0.5,0.0123,18.1,0.767,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0875_m08345,121.669,20,0,NA,NA,NA,18,NA,20,9,0.45,0.0082,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08355,121.665,22,0,NA,NA,NA,18,NA,22,10,0.5,0.009,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08365,99.067,2,0,NA,NA,NA,1,NA,2,1,0.05,0.001,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0875_m08375,0.061,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0885_m08275,15.671,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0885_m08285,95.489,7,0,NA,NA,NA,5,NA,6,3,0.15,0.0031,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0885_m08295,121.046,12,0,NA,NA,NA,10,NA,11,7,0.35,0.0045,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0885_m08305,121.66,39,0,165,202,38,26,NA,36,13,0.65,0.0148,10.4,0.806,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0885_m08315,121.653,74,0,166,205,40,51,NA,71,16,0.8,0.0292,14,0.831,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0885_m08325,121.647,110,0,176,208,33,77,0.286,107,17,0.85,0.044,17.4,0.841,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0885_m08335,121.641,113,0,172,216,45,84,0.333,103,18,0.9,0.0423,11.1,0.893,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0885_m08345,121.636,131,0,149,210,62,99,0.343,118,19,0.95,0.0485,14.8,0.568,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0885_m08355,121.632,94,0,160,212,53,80,NA,89,19,0.95,0.0366,14.7,0.831,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0885_m08365,75.522,10,0,NA,NA,NA,10,NA,10,8,0.4,0.0066,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0895_m08275,7.062,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0895_m08285,79.057,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0895_m08295,121.338,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0895_m08305,121.627,42,0,177,216,40,32,NA,41,16,0.8,0.0169,12.3,0.683,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0895_m08315,121.62,130,1.5,150,216,67,93,0.301,124,19,0.95,0.051,16.2,0.581,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0895_m08325,121.614,187,1.1,169,218,50,120,0.292,172,19,0.95,0.0707,15.9,0.808,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0895_m08335,121.609,162,0,168,219,52,110,0.327,146,19,0.95,0.06,12.9,0.726,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0895_m08345,121.604,106,0,172,213,42,73,0.288,100,18,0.9,0.0411,13.3,0.69,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0895_m08355,121.6,46,10.9,145,260,116,45,NA,39,13,0.65,0.016,11.8,0.667,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0895_m08365,103.157,34,0,165,221,57,28,NA,31,12,0.6,0.015,18.2,0.774,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0895_m08375,0.035,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0905_m08295,42.415,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0905_m08305,121.594,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0905_m08315,121.587,33,0,169,210,42,26,NA,31,13,0.65,0.0127,14.7,0.71,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0905_m08325,121.581,204,0,168,205,38,129,0.302,191,20,1,0.0785,15.8,0.702,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0905_m08335,121.576,178,0,146,208,63,124,0.306,169,20,1,0.0695,13.8,0.627,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0905_m08345,121.571,130,0,159,216,58,91,0.308,123,18,0.9,0.0506,18.1,0.618,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0905_m08355,121.567,98,1,184,226,43,76,NA,87,19,0.95,0.0358,13.1,0.69,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0905_m08365,121.564,6,0,NA,NA,NA,4,NA,6,2,0.1,0.0025,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0905_m08375,47.948,1,0,NA,NA,NA,1,NA,1,1,0.05,0.001,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08295,15.66,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08305,121.561,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08315,121.554,43,0,153,208,56,20,NA,36,10,0.5,0.0148,17.8,0.5,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0915_m08325,121.548,257,0,163,206,44,136,0.25,226,18,0.9,0.093,17.6,0.624,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0915_m08335,121.542,174,1.7,129,202,74,110,0.282,159,20,1,0.0654,14.3,0.616,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0915_m08345,121.538,210,5.7,113,199,87,140,0.321,189,19,0.95,0.0778,13.4,0.381,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0915_m08355,121.534,144,5.6,109,211,103,100,0.31,105,20,1,0.0432,14.4,0.371,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0915_m08365,121.53,32,0,191,225,35,23,NA,26,10,0.5,0.0107,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08375,121.119,7,0,NA,NA,NA,7,NA,6,5,0.25,0.0025,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08385,60.5,1,0,NA,NA,NA,1,NA,1,1,0.05,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0915_m08395,0.694,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08295,12.81,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08305,121.527,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08315,121.52,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08325,121.514,34,0,181,219,39,17,NA,29,6,0.3,0.0119,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08335,121.509,245,0.4,156,208,53,72,0.125,234,16,0.8,0.0963,31.3,0.5,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c0925_m08345,121.504,4,25,NA,NA,NA,4,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08355,121.5,27,7.4,NA,NA,NA,19,NA,24,8,0.4,0.0099,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08365,121.497,54,1.9,130,212,83,47,NA,52,18,0.9,0.0214,10.4,0.288,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0925_m08375,121.494,36,0,159,210,52,29,NA,32,15,0.75,0.0132,15.1,0.531,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0925_m08385,121.492,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08395,86.537,10,0,NA,NA,NA,9,NA,9,6,0.3,0.0052,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0925_m08405,19.176,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08295,9.964,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08305,121.493,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08315,121.486,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08325,121.48,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08335,121.475,8,0,NA,NA,NA,1,NA,8,1,0.05,0.0033,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08345,121.47,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08355,121.466,2,0,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08365,121.463,3,0,NA,NA,NA,3,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08375,121.46,7,0,NA,NA,NA,7,NA,6,5,0.25,0.0025,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08385,121.458,3,0,NA,NA,NA,2,NA,3,2,0.1,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08395,121.457,6,0,NA,NA,NA,3,NA,6,3,0.15,0.0025,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08405,121.33,27,0,NA,NA,NA,21,NA,26,8,0.4,0.0107,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08415,95.584,30,0,174,223,50,27,NA,29,14,0.7,0.0152,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0935_m08425,14.414,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08265,30.946,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08275,24.274,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08285,1.155,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08295,74.774,17,0,NA,NA,NA,12,NA,15,9,0.45,0.01,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08305,121.459,9,0,NA,NA,NA,7,NA,8,5,0.25,0.0033,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08315,121.452,2,0,NA,NA,NA,1,NA,2,1,0.05,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08325,121.446,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08335,121.44,10,0,NA,NA,NA,6,NA,3,3,0.15,0.0012,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08345,121.436,2,0,NA,NA,NA,2,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08355,121.432,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08365,121.428,2,50,NA,NA,NA,2,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08375,121.426,7,0,NA,NA,NA,5,NA,7,5,0.25,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08385,121.424,2,0,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08395,121.423,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08405,121.423,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08415,121.423,10,0,NA,NA,NA,8,NA,10,5,0.25,0.0041,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08425,114.46,37,0,161,224,64,31,NA,37,14,0.7,0.0162,10.5,0.351,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0945_m08435,79.7,42,0,149,269,121,37,NA,37,16,0.8,0.0232,13.2,0.486,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0945_m08445,50.605,39,0,115,232,118,29,NA,39,9,0.45,0.0385,12.2,0.436,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c0945_m08455,31.136,7,0,NA,NA,NA,6,NA,7,5,0.25,0.0112,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0945_m08465,1.863,1,0,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08265,56.007,1,100,NA,NA,NA,1,NA,1,1,0.05,9e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08275,103.432,2,50,NA,NA,NA,2,NA,1,1,0.05,5e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08285,61.613,2,50,NA,NA,NA,2,NA,2,2,0.1,0.0016,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08295,103.372,7,14.3,NA,NA,NA,5,NA,6,4,0.2,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08305,121.424,5,0,NA,NA,NA,4,NA,5,4,0.2,0.0021,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08315,121.417,3,0,NA,NA,NA,3,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08325,121.411,2,0,NA,NA,NA,2,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08335,121.406,9,0,NA,NA,NA,6,NA,5,4,0.2,0.0021,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08345,121.401,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08355,121.397,3,0,NA,NA,NA,3,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08365,121.394,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08375,121.391,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c0955_m08385,121.389,1,0,NA,NA,NA,1,NA,1,1,0.05,4e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
